"participant","minutes","n_previous_marathons","age","gender","hills","weather"
230,207,11,29,"Male",5,"Sunny"
413,316,5,34,"Female",0,"Cloudy"
464,388,4,18,"Female",13,"Sunny"
495,340,4,33,"Male",10,"Sunny"
305,327,8,43,"Male",11,"Sunny"
153,291,6,39,"Female",8,"Sunny"
307,410,4,28,"Female",9,"Cloudy"
322,310,5,38,"Male",8,"Cloudy"
288,370,5,27,"Male",9,"Cloudy"
112,387,6,38,"Female",9,"Cloudy"
438,343,7,34,"Female",6,"Cloudy"
96,314,5,50,"Other",4,"Sunny"
579,391,7,47,"Female",9,"Cloudy"
249,299,12,59,"Female",8,"Cloudy"
569,299,7,30,"Male",15,"Sunny"
21,287,10,37,"Male",17,"Sunny"
34,403,9,50,"Female",7,"Sunny"
508,394,7,57,"Male",9,"Cloudy"
68,206,9,26,"Male",9,"Sunny"
472,404,9,31,"Female",12,"Cloudy"
397,291,5,33,"Male",7,"Cloudy"
565,424,8,33,"Female",15,"Light Rain"
164,377,6,31,"Female",9,"Cloudy"
600,357,3,37,"Male",7,"Sunny"
389,365,4,32,"Female",5,"Cloudy"
189,338,11,51,"Male",12,"Cloudy"
485,171,11,22,"Female",5,"Cloudy"
408,275,4,26,"Male",9,"Sunny"
350,328,8,45,"Male",10,"Sunny"
455,401,5,33,"Female",6,"Cloudy"
462,315,6,41,"Male",9,"Cloudy"
584,363,6,47,"Female",17,"Sunny"
336,246,7,16,"Female",8,"Cloudy"
385,262,7,25,"Male",13,"Sunny"
115,259,8,31,"Male",9,"Cloudy"
514,347,6,37,"Male",-999,"Cloudy"
116,261,4,9,"Female",14,"Sunny"
259,354,7,33,"Male",13,"Light Rain"
593,221,12,24,"Female",7,"Cloudy"
480,384,8,32,"Female",7,"Cloudy"
476,456,6,54,"Male",13,"Cloudy"
291,215,5,7,"Female",7,"Sunny"
188,244,7,29,"Female",10,"Sunny"
273,258,3,27,"Male",5,"Light Rain"
195,252,11,26,"Female",9,"Cloudy"
442,307,7,45,"Male",10,"Light Rain"
267,390,6,40,"Female",9,"Cloudy"
415,398,5,49,"Female",7,"Sunny"
97,325,9,27,"Female",7,"Sunny"
531,292,11,46,"Female",6,"Light Rain"
106,240,10,18,"Female",7,"Sunny"
165,293,6,24,"Female",9,"Cloudy"
186,328,7,43,"Female",9,"Cloudy"
284,431,5,40,"Female",9,"Sunny"
33,228,8,28,"Male",11,"Sunny"
363,433,10,55,"Male",12,"Sunny"
32,267,11,23,"Female",7,"Sunny"
539,300,7,36,"Male",8,"Cloudy"
466,374,5,45,"Female",11,"Sunny"
410,303,8,42,"Female",10,"Cloudy"
109,324,6,30,"Male",8,"Sunny"
540,412,5,38,"Male",9,"Heavy Rain"
99,240,7,22,"Female",11,"Sunny"
66,279,6,33,"Female",9,"Light Rain"
553,323,7,45,"Female",7,"Sunny"
473,392,6,40,"Female",11,"Cloudy"
332,300,5,16,"Female",12,"Sunny"
269,335,2,32,"Male",9,"Sunny"
140,388,6,47,"Other",9,"Sunny"
370,465,7,45,"Female",19,"Sunny"
450,416,8,39,"Female",12,"Cloudy"
218,387,6,38,"Female",12,"Sunny"
236,357,6,43,"Male",12,"Sunny"
507,279,7,34,"Female",7,"Cloudy"
132,308,10,39,"Female",14,"Cloudy"
36,320,7,14,"Female",14,"Sunny"
421,369,7,25,"Female",10,"Cloudy"
521,289,6,23,"Male",10,"Sunny"
538,354,9,27,"Male",14,"Cloudy"
380,257,12,28,"Male",6,"Cloudy"
479,370,5,40,"Female",10,"Sunny"
581,301,10,40,"Female",11,"Sunny"
388,335,5,40,"Male",9,"Light Rain"
102,276,6,23,"Female",12,"Light Rain"
270,189,7,36,"Male",9,"Sunny"
490,226,10,28,"Female",5,"Sunny"
546,275,12,35,"Female",8,"Cloudy"
554,182,10,23,"Male",13,"Sunny"
549,406,9,51,"Female",6,"Cloudy"
409,316,6,37,"Female",10,"Light Rain"
72,204,8,18,"Male",9,"Cloudy"
325,339,4,26,"Male",3,"Sunny"
252,324,5,27,"Female",7,"Cloudy"
202,124,12,25,"Female",8,"Sunny"
556,370,7,29,"Female",10,"Sunny"
323,420,4,43,"Female",15,"Light Rain"
536,309,9,38,"Female",7,"Cloudy"
359,359,6,43,"Female",15,"Sunny"
580,358,7,34,"Other",7,"Cloudy"
280,355,8,35,"Female",13,"Cloudy"
512,398,4,19,"Female",11,"Sunny"
468,270,8,33,"Male",7,"Cloudy"
474,128,9,19,"Female",9,"Sunny"
260,227,10,29,"Male",15,"Light Rain"
583,308,10,33,"Male",7,"Cloudy"
367,386,5,37,"Female",9,"Sunny"
525,322,7,32,"Female",8,"Cloudy"
55,362,7,26,"Female",9,"Cloudy"
274,403,4,38,"Female",11,"Cloudy"
157,424,7,46,"Female",13,"Cloudy"
481,434,5,43,"Female",12,"Light Rain"
574,431,6,44,"Female",12,"Sunny"
563,229,9,21,"Other",7,"Cloudy"
498,367,3,31,"Male",10,"Cloudy"
182,411,6,38,"Other",11,"Light Rain"
9,320,7,47,"Male",10,"Light Rain"
15,403,4,31,"Female",12,"Sunny"
357,330,8,45,"Female",12,"Sunny"
290,329,8,22,"Female",5,"Sunny"
56,463,5,38,"Female",13,"Sunny"
184,309,5,36,"Female",12,"Light Rain"
168,312,5,52,"Female",10,"Sunny"
457,268,9,45,"Male",5,"Cloudy"
190,287,11,31,"Female",8,"Sunny"
118,256,12,39,"Male",-999,"Light Rain"
517,364,7,33,"Female",12,"Sunny"
378,283,5,22,"Male",7,"Cloudy"
341,301,6,27,"Male",15,"Sunny"
28,291,7,41,"Male",12,"Cloudy"
298,277,4,16,"Female",14,"Sunny"
200,347,7,41,"Female",9,"Sunny"
87,300,13,40,"Female",11,"Heavy Rain"
335,337,6,21,"Male",12,"Sunny"
407,302,8,38,"Female",8,"Cloudy"
38,413,5,33,"Female",13,"Heavy Rain"
199,432,4,39,"Female",14,"Cloudy"
585,251,10,40,"Male",6,"Sunny"
398,428,4,34,"Female",11,"Cloudy"
283,236,6,23,"Male",5,"Sunny"
576,404,8,55,"Female",10,"Cloudy"
376,152,12,15,"Female",3,"Sunny"
317,238,10,30,"Male",7,"Sunny"
377,285,9,24,"Female",9,"Sunny"
185,346,7,42,"Male",12,"Sunny"
180,261,7,33,"Female",7,"Cloudy"
272,391,1,20,"Male",14,"Cloudy"
211,314,7,34,"Male",11,"Cloudy"
242,288,8,30,"Female",17,"Sunny"
281,401,9,32,"Female",11,"Cloudy"
160,378,5,32,"Female",6,"Sunny"
224,390,8,32,"Female",9,"Sunny"
448,365,4,30,"Male",7,"Cloudy"
529,273,14,23,"Female",10,"Cloudy"
215,487,3,29,"Male",11,"Heavy Rain"
279,293,3,20,"Male",8,"Cloudy"
491,261,12,39,"Female",10,"Cloudy"
301,376,9,46,"Male",14,"Sunny"
425,260,10,35,"Male",8,"Cloudy"
137,346,9,42,"Female",12,"Cloudy"
434,217,15,49,"Male",6,"Cloudy"
156,284,6,8,"Female",9,"Light Rain"
86,358,6,49,"Male",6,"Light Rain"
60,339,6,61,"Male",9,"Sunny"
347,210,13,27,"Female",8,"Cloudy"
361,401,4,44,"Other",8,"Sunny"
314,385,3,35,"Female",7,"Cloudy"
209,363,4,37,"Female",11,"Cloudy"
129,406,4,51,"Female",9,"Sunny"
458,331,9,33,"Female",10,"Cloudy"
105,390,7,42,"Female",13,"Sunny"
353,246,7,41,"Male",10,"Cloudy"
599,272,10,39,"Male",12,"Sunny"
535,411,3,33,"Male",7,"Sunny"
302,390,2,35,"Female",13,"Sunny"
100,327,7,31,"Female",8,"Cloudy"
568,287,9,46,"Male",7,"Cloudy"
191,394,5,34,"Female",14,"Cloudy"
125,420,6,28,"Female",11,"Light Rain"
509,285,11,38,"Male",8,"Cloudy"
360,255,10,36,"Female",8,"Cloudy"
143,473,2,42,"Female",13,"Cloudy"
334,362,10,38,"Other",7,"Cloudy"
192,347,6,49,"Female",9,"Sunny"
94,319,8,27,"Male",12,"Sunny"
201,430,5,29,"Female",-999,"Sunny"
204,334,7,43,"Female",11,"Cloudy"
404,308,7,36,"Female",6,"Sunny"
470,327,9,50,"Female",10,"Sunny"
31,310,12,45,"Male",7,"Sunny"
220,179,11,33,"Female",7,"Cloudy"
80,398,4,17,"Female",11,"Light Rain"
92,265,8,13,"Male",14,"Cloudy"
266,258,7,36,"Female",10,"Cloudy"
504,325,3,47,"Male",11,"Sunny"
561,399,3,44,"Female",3,"Cloudy"
515,329,9,38,"Male",15,"Cloudy"
417,257,12,43,"Female",14,"Sunny"
386,277,11,31,"Female",9,"Cloudy"
399,422,4,39,"Female",15,"Sunny"
146,387,5,37,"Male",6,"Light Rain"
26,272,8,42,"Male",19,"Cloudy"
181,257,10,35,"Male",10,"Cloudy"
219,222,9,25,"Female",11,"Cloudy"
503,346,5,44,"Female",5,"Cloudy"
149,283,5,14,"Male",9,"Light Rain"
532,340,8,29,"Female",6,"Sunny"
496,234,14,43,"Female",9,"Light Rain"
108,274,8,43,"Male",11,"Light Rain"
10,362,7,55,"Female",8,"Sunny"
419,371,7,39,"Female",14,"Sunny"
275,266,9,31,"Male",17,"Sunny"
51,391,3,45,"Male",10,"Cloudy"
384,315,9,25,"Female",8,"Cloudy"
477,317,8,35,"Other",15,"Sunny"
147,437,5,39,"Female",9,"Sunny"
110,318,4,37,"Male",7,"Sunny"
88,322,10,24,"Female",12,"Sunny"
340,211,13,30,"Female",13,"Sunny"
567,302,6,16,"Female",13,"Sunny"
158,225,5,30,"Male",5,"Sunny"
369,396,6,41,"Male",8,"Sunny"
46,369,4,17,"Female",10,"Sunny"
519,382,3,26,"Female",10,"Cloudy"
412,276,10,33,"Male",8,"Cloudy"
139,293,13,13,"Female",12,"Cloudy"
501,345,6,39,"Female",7,"Sunny"
163,292,8,40,"Other",6,"Cloudy"
572,230,11,36,"Female",14,"Cloudy"
373,311,10,39,"Female",12,"Light Rain"
345,303,7,31,"Female",11,"Cloudy"
500,302,9,41,"Male",10,"Light Rain"
228,319,7,36,"Female",7,"Cloudy"
91,333,4,29,"Female",10,"Heavy Rain"
571,216,7,24,"Male",7,"Sunny"
486,408,4,29,"Female",11,"Sunny"
390,202,5,14,"Male",8,"Light Rain"
321,239,10,21,"Male",4,"Cloudy"
564,316,5,26,"Male",8,"Sunny"
74,508,0,43,"Female",12,"Sunny"
161,332,7,44,"Male",10,"Cloudy"
365,308,6,13,"Female",6,"Cloudy"
352,234,12,36,"Male",11,"Sunny"
372,282,6,32,"Female",7,"Sunny"
285,424,3,25,"Female",14,"Cloudy"
467,395,5,48,"Female",9,"Cloudy"
502,234,6,28,"Male",10,"Sunny"
460,373,4,33,"Male",7,"Sunny"
557,275,8,20,"Female",8,"Sunny"
93,321,6,44,"Female",6,"Sunny"
488,278,8,15,"Female",8,"Sunny"
383,365,6,28,"Female",-999,"Sunny"
346,315,6,44,"Female",8,"Cloudy"
428,305,6,37,"Female",4,"Cloudy"
73,271,8,30,"Female",19,"Sunny"
41,388,4,41,"Female",11,"Sunny"
78,362,8,36,"Female",10,"Cloudy"
81,308,5,35,"Male",7,"Sunny"
148,419,3,44,"Male",14,"Cloudy"
566,356,8,61,"Female",6,"Light Rain"
177,357,6,52,"Female",9,"Cloudy"
551,387,6,41,"Male",6,"Sunny"
98,347,4,43,"Male",5,"Cloudy"
437,393,4,41,"Male",9,"Cloudy"
82,380,8,37,"Female",12,"Sunny"
401,161,13,28,"Male",13,"Cloudy"
134,245,9,25,"Female",10,"Cloudy"
447,375,9,62,"Female",12,"Sunny"
394,266,9,27,"Male",12,"Sunny"
226,414,6,41,"Female",12,"Sunny"
547,387,3,29,"Female",14,"Cloudy"
589,267,13,27,"Female",10,"Cloudy"
597,378,7,37,"Female",10,"Sunny"
50,233,10,33,"Female",9,"Sunny"
127,453,4,59,"Female",14,"Sunny"
429,356,4,28,"Male",10,"Cloudy"
64,382,5,45,"Male",12,"Sunny"
234,302,3,36,"Female",4,"Cloudy"
482,295,9,44,"Male",11,"Sunny"
257,392,4,34,"Male",9,"Cloudy"
596,300,10,28,"Male",14,"Cloudy"
371,325,6,30,"Female",12,"Cloudy"
427,386,6,41,"Female",17,"Cloudy"
131,294,8,33,"Female",8,"Sunny"
45,341,4,34,"Female",9,"Sunny"
227,342,7,47,"Male",10,"Cloudy"
244,271,8,23,"Male",12,"Cloudy"
172,288,5,32,"Male",14,"Sunny"
213,386,5,44,"Female",14,"Sunny"
382,355,9,45,"Male",11,"Sunny"
286,337,6,33,"Male",10,"Sunny"
478,415,0,32,"Female",8,"Cloudy"
122,354,6,38,"Female",18,"Cloudy"
544,312,5,36,"Male",15,"Sunny"
594,436,4,53,"Female",10,"Sunny"
550,342,6,35,"Female",13,"Sunny"
54,493,4,36,"Female",14,"Cloudy"
344,264,5,41,"Female",12,"Cloudy"
166,378,7,47,"Female",11,"Cloudy"
174,216,9,33,"Female",14,"Cloudy"
48,288,7,29,"Female",12,"Light Rain"
577,287,6,43,"Male",9,"Sunny"
52,198,6,15,"Male",13,"Cloudy"
11,266,12,48,"Female",10,"Cloudy"
295,361,9,40,"Female",5,"Cloudy"
193,280,13,48,"Male",12,"Sunny"
71,445,9,59,"Female",10,"Light Rain"
430,292,10,45,"Female",8,"Sunny"
90,387,5,38,"Male",12,"Cloudy"
595,256,4,40,"Other",9,"Cloudy"
197,282,6,37,"Female",4,"Sunny"
8,291,10,37,"Female",10,"Cloudy"
304,243,9,20,"Male",15,"Cloudy"
306,293,7,33,"Male",7,"Cloudy"
403,170,11,28,"Male",7,"Cloudy"
22,365,8,47,"Female",7,"Sunny"
454,423,3,37,"Male",9,"Sunny"
459,360,4,15,"Female",7,"Sunny"
355,352,8,40,"Other",13,"Cloudy"
196,309,7,21,"Male",12,"Light Rain"
133,408,8,38,"Female",8,"Heavy Rain"
518,255,9,47,"Male",5,"Cloudy"
214,212,8,37,"Male",8,"Light Rain"
159,344,6,37,"Female",8,"Sunny"
339,427,8,41,"Male",4,"Cloudy"
79,309,6,35,"Male",-999,"Cloudy"
237,440,5,47,"Male",11,"Light Rain"
35,426,2,39,"Female",11,"Cloudy"
311,309,6,31,"Male",6,"Light Rain"
440,325,4,45,"Male",9,"Cloudy"
238,289,10,39,"Male",13,"Sunny"
95,380,6,29,"Male",7,"Sunny"
292,455,4,40,"Female",7,"Cloudy"
254,365,5,37,"Female",13,"Cloudy"
506,328,5,36,"Female",15,"Light Rain"
203,384,8,45,"Female",7,"Sunny"
144,296,5,33,"Male",21,"Sunny"
233,338,7,21,"Female",7,"Sunny"
573,348,7,24,"Female",14,"Sunny"
528,346,2,16,"Female",14,"Cloudy"
337,287,8,34,"Female",8,"Light Rain"
392,415,5,47,"Female",14,"Sunny"
12,418,7,43,"Female",6,"Sunny"
128,260,4,35,"Female",13,"Sunny"
253,346,7,46,"Male",9,"Cloudy"
261,191,11,27,"Female",15,"Cloudy"
424,280,6,20,"Female",8,"Sunny"
343,284,7,37,"Female",13,"Cloudy"
590,267,7,39,"Male",7,"Cloudy"
7,258,7,15,"Male",12,"Cloudy"
256,261,9,20,"Female",14,"Cloudy"
591,253,7,25,"Female",4,"Sunny"
534,348,9,50,"Male",12,"Sunny"
560,524,2,51,"Female",17,"Cloudy"
239,282,4,29,"Male",7,"Cloudy"
248,312,12,41,"Female",11,"Cloudy"
155,422,4,44,"Female",8,"Light Rain"
271,440,10,45,"Other",10,"Cloudy"
235,443,5,54,"Other",5,"Cloudy"
43,410,6,52,"Female",6,"Cloudy"
542,464,4,62,"Female",11,"Sunny"
255,300,7,52,"Male",11,"Sunny"
175,258,8,33,"Male",4,"Light Rain"
318,258,5,28,"Female",7,"Sunny"
278,453,7,36,"Female",12,"Sunny"
426,318,8,38,"Female",6,"Sunny"
145,314,10,29,"Female",11,"Sunny"
294,262,10,32,"Female",6,"Sunny"
136,370,8,24,"Female",-999,"Cloudy"
416,441,5,46,"Female",9,"Cloudy"
24,194,14,42,"Male",7,"Light Rain"
524,332,3,43,"Male",8,"Sunny"
348,298,6,32,"Female",4,"Cloudy"
206,304,10,34,"Male",14,"Cloudy"
422,201,8,18,"Male",7,"Sunny"
316,223,9,9,"Female",8,"Sunny"
70,334,6,30,"Male",13,"Cloudy"
303,352,9,35,"Female",9,"Sunny"
120,336,6,29,"Female",8,"Sunny"
210,352,4,34,"Female",5,"Cloudy"
505,393,6,38,"Male",8,"Light Rain"
333,324,9,40,"Female",10,"Cloudy"
59,261,10,10,"Male",11,"Heavy Rain"
445,196,10,37,"Male",9,"Cloudy"
452,350,6,34,"Male",5,"Sunny"
89,257,10,31,"Female",6,"Sunny"
522,349,6,42,"Female",12,"Sunny"
441,433,5,42,"Female",9,"Heavy Rain"
465,360,7,39,"Male",13,"Sunny"
308,283,2,21,"Female",10,"Sunny"
178,420,7,32,"Female",13,"Cloudy"
14,296,7,29,"Male",9,"Light Rain"
406,360,7,41,"Female",11,"Light Rain"
558,437,7,31,"Female",11,"Cloudy"
475,329,8,38,"Male",12,"Sunny"
124,459,5,48,"Female",16,"Cloudy"
499,238,8,37,"Male",8,"Light Rain"
366,242,9,35,"Male",10,"Cloudy"
310,199,7,27,"Male",7,"Sunny"
327,103,17,37,"Male",11,"Sunny"
229,374,8,39,"Female",13,"Cloudy"
381,327,7,39,"Male",13,"Cloudy"
150,250,9,19,"Female",8,"Sunny"
312,273,7,23,"Female",4,"Sunny"
84,338,9,24,"Female",10,"Sunny"
19,379,6,52,"Male",7,"Cloudy"
446,209,8,13,"Male",15,"Light Rain"
141,310,6,23,"Female",9,"Cloudy"
431,321,12,52,"Male",6,"Sunny"
276,435,9,49,"Male",18,"Sunny"
510,373,6,33,"Female",13,"Sunny"
258,332,6,30,"Male",5,"Cloudy"
268,310,6,41,"Female",8,"Cloudy"
451,393,7,50,"Male",11,"Cloudy"
152,368,7,45,"Male",9,"Sunny"
400,213,14,19,"Female",14,"Sunny"
287,390,3,39,"Female",14,"Sunny"
240,258,9,33,"Male",9,"Sunny"
119,349,7,40,"Male",17,"Cloudy"
469,351,5,32,"Female",7,"Sunny"
251,475,5,43,"Female",19,"Sunny"
420,451,2,39,"Female",6,"Cloudy"
83,357,6,37,"Female",8,"Sunny"
319,335,6,23,"Male",11,"Sunny"
245,370,6,44,"Male",6,"Sunny"
57,345,4,39,"Male",12,"Sunny"
101,325,8,34,"Female",3,"Cloudy"
246,281,8,44,"Other",14,"Light Rain"
358,364,6,40,"Male",17,"Cloudy"
530,317,6,21,"Female",11,"Light Rain"
6,439,3,38,"Female",11,"Sunny"
222,337,12,34,"Female",12,"Cloudy"
183,365,8,48,"Female",9,"Cloudy"
221,443,5,45,"Male",7,"Sunny"
169,318,6,36,"Male",-999,"Cloudy"
487,407,4,43,"Female",6,"Cloudy"
326,345,3,44,"Female",8,"Sunny"
5,276,11,31,"Male",9,"Cloudy"
497,460,5,39,"Female",13,"Sunny"
328,351,3,24,"Female",8,"Sunny"
375,332,7,36,"Male",7,"Cloudy"
527,292,11,31,"Female",9,"Sunny"
342,379,4,38,"Female",12,"Cloudy"
187,358,5,44,"Female",13,"Sunny"
25,318,8,30,"Female",4,"Sunny"
117,313,7,34,"Female",8,"Light Rain"
493,467,7,44,"Female",11,"Heavy Rain"
449,390,6,59,"Female",13,"Sunny"
126,93,13,30,"Female",11,"Sunny"
231,289,8,41,"Female",9,"Sunny"
559,448,7,36,"Female",13,"Cloudy"
264,274,12,50,"Male",9,"Light Rain"
208,337,5,14,"Female",19,"Sunny"
299,474,4,47,"Female",10,"Light Rain"
107,213,11,32,"Female",11,"Sunny"
379,390,6,26,"Female",15,"Sunny"
489,393,6,16,"Male",11,"Sunny"
69,244,9,44,"Other",9,"Light Rain"
402,220,4,20,"Male",10,"Sunny"
265,272,7,23,"Female",8,"Light Rain"
293,485,3,43,"Female",10,"Cloudy"
418,421,6,32,"Male",13,"Sunny"
1,364,5,28,"Female",11,"Cloudy"
391,156,13,34,"Male",8,"Sunny"
598,253,6,31,"Female",10,"Sunny"
17,300,5,34,"Male",11,"Cloudy"
63,383,6,38,"Female",10,"Sunny"
241,167,7,32,"Female",5,"Sunny"
463,459,7,41,"Female",12,"Cloudy"
354,377,4,20,"Female",14,"Sunny"
176,242,8,37,"Male",11,"Sunny"
511,284,7,10,"Female",10,"Sunny"
65,383,9,43,"Female",9,"Cloudy"
483,445,6,35,"Female",18,"Sunny"
435,334,5,34,"Female",5,"Sunny"
16,204,10,42,"Other",10,"Sunny"
263,249,8,24,"Male",7,"Sunny"
396,424,5,60,"Male",13,"Cloudy"
374,390,7,29,"Female",13,"Cloudy"
492,389,3,26,"Male",9,"Cloudy"
338,332,8,46,"Male",4,"Cloudy"
194,306,8,24,"Female",9,"Cloudy"
586,468,4,40,"Female",11,"Sunny"
513,271,10,34,"Female",6,"Cloudy"
395,300,4,20,"Male",8,"Light Rain"
154,488,5,42,"Female",10,"Sunny"
85,460,4,40,"Female",13,"Cloudy"
217,313,6,34,"Male",14,"Light Rain"
27,349,7,34,"Female",8,"Sunny"
552,345,5,34,"Male",14,"Cloudy"
315,382,6,46,"Female",9,"Cloudy"
29,334,5,48,"Other",13,"Sunny"
42,302,6,45,"Female",14,"Cloudy"
297,361,13,34,"Male",16,"Cloudy"
331,379,8,28,"Female",14,"Cloudy"
351,310,4,16,"Female",10,"Cloudy"
329,373,6,21,"Female",12,"Cloudy"
313,377,8,52,"Female",13,"Sunny"
526,310,8,29,"Female",12,"Cloudy"
130,296,8,21,"Male",9,"Cloudy"
18,319,3,22,"Female",12,"Sunny"
453,429,5,40,"Female",12,"Sunny"
443,349,9,59,"Female",9,"Light Rain"
2,159,9,27,"Male",7,"Light Rain"
433,310,6,16,"Female",16,"Sunny"
356,210,13,27,"Female",10,"Cloudy"
171,374,8,55,"Female",10,"Cloudy"
223,261,8,28,"Male",11,"Cloudy"
173,230,10,22,"Female",11,"Cloudy"
543,164,10,30,"Male",8,"Sunny"
30,343,4,35,"Male",7,"Cloudy"
423,309,7,41,"Male",10,"Cloudy"
461,216,13,40,"Male",-999,"Sunny"
296,211,9,23,"Male",11,"Sunny"
216,285,8,28,"Female",12,"Light Rain"
320,209,10,50,"Male",7,"Light Rain"
289,295,3,41,"Male",11,"Sunny"
436,363,8,40,"Female",14,"Sunny"
570,329,10,52,"Female",12,"Sunny"
456,215,10,34,"Female",13,"Sunny"
113,495,3,42,"Female",4,"Cloudy"
135,385,7,35,"Female",6,"Sunny"
76,291,5,29,"Male",9,"Sunny"
439,365,4,34,"Female",12,"Cloudy"
592,423,3,41,"Female",2,"Light Rain"
103,302,7,29,"Female",7,"Cloudy"
484,274,8,23,"Female",12,"Sunny"
362,349,5,49,"Female",8,"Sunny"
387,276,5,33,"Male",7,"Sunny"
40,373,5,34,"Male",11,"Cloudy"
47,280,5,36,"Male",12,"Cloudy"
309,400,7,32,"Male",14,"Heavy Rain"
111,176,11,40,"Female",9,"Light Rain"
393,349,8,47,"Male",11,"Light Rain"
44,322,6,36,"Male",7,"Sunny"
330,303,11,56,"Male",11,"Sunny"
3,376,6,26,"Female",8,"Cloudy"
53,362,9,31,"Other",11,"Sunny"
123,350,6,36,"Male",12,"Sunny"
562,308,11,36,"Male",17,"Cloudy"
523,391,6,34,"Female",14,"Sunny"
